,FAMILY_INCOME_BRACKET,HOUSEHOLD_SIZE,SES_COMPOSITE_URBANICITY_ADJ,NUM_HS_ATTENDED,SCHOOL_PROBLEM_SCALE,SCHOOL_CLIMATE_SCALE,STUDENT_SCHOOL_MOTIVATION,TOTAL_AP_CREDITS,RIGOR,HS_GPA_12TH,HS_GPA_11TH,HS_GPA_10TH,HS_GPA_9TH,HS_GPA_ACAD,HS_GPA_WGT,SAT_WRIT_AVG,ACT_SCHOOL_AVG,FRESHMAN_GPA,FRESHMAN_CREDITS_ATTEMPTED,FRESHMAN_CREDITS_EARNED,REMEDIAL_COURSE_RATIO,ENROLLMENT_ATTAINMENT_STATUS,SAT_SCHOOL_AVG,HOURS_HOMEWORK
1402,2,4,-1.0048,1,-1.72,1.38,0.07,0.0,2,3.0,2.5,2.0,2.0,2.0,2.5,-9,-9,2.5,25,25,0.0,1,-18,-23
1403,-8,-8,-8.0,1,0.85,0.29,1.06,2.0,3,4.0,3.5,3.5,3.5,3.5,3.5,-9,-9,3.8,29,29,0.2,9,-18,-24
1404,-8,-8,0.5251,1,0.34,0.88,0.11,0.0,2,2.5,2.5,2.0,2.0,2.0,2.0,510,23,-7.0,7,0,0.1,2,1030,3
1405,-8,-8,-0.613,1,-9.0,-9.0,-8.0,0.0,6,-1.0,-1.0,2.5,2.0,2.0,2.5,-6,-6,2.5,41,36,0.0,1,-12,-12
1406,13,3,1.9497,1,-2.09,1.33,0.36,4.0,3,3.0,3.5,3.5,4.0,3.5,3.5,-9,24,2.8,29,29,0.0,3,-18,5
1407,-8,-8,-8.0,1,-1.49,0.26,-0.59,0.0,1,4.0,3.5,3.5,3.0,3.5,3.5,-9,23,3.2,31,31,0.0,3,-18,-24
1408,6,4,0.1061,-8,-9.0,-9.0,-8.0,-8.0,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-6,-6,-6.0,-6,-6,-6.0,-6,-12,3
1409,4,3,0.0047,1,-1.19,0.64,0.45,0.0,4,4.0,3.5,3.0,3.0,3.0,3.5,-8,-8,2.9,13,13,0.0,1,-16,3
1410,4,3,-0.5087,1,-9.0,-9.0,0.7,3.0,3,3.0,2.5,3.0,3.5,2.5,3.5,470,-9,2.3,32,17,0.0,1,980,-5
1411,3,3,-0.4887,1,0.95,-0.61,0.53,0.0,3,4.0,3.5,3.5,3.5,3.5,3.5,-9,17,3.3,12,12,0.0,10,-18,4
1412,6,4,0.2568,2,-1.31,1.91,-8.0,6.0,3,3.0,3.5,3.5,4.0,3.5,4.0,-9,25,3.5,37,37,0.0,3,1170,5
1413,3,5,-0.6995,1,0.94,-0.58,-0.27,0.0,2,2.0,1.0,2.0,2.0,1.5,2.0,-9,18,-6.0,-6,-6,-6.0,-6,-18,3
1414,-8,-8,0.1023,1,-0.12,0.21,1.02,0.0,1,2.0,2.5,2.0,1.0,2.0,2.0,-9,-9,-6.0,-6,-6,-6.0,-6,-18,-7
1415,4,8,0.4496,1,0.29,-0.81,1.02,0.0,4,4.0,3.5,3.5,3.5,3.5,3.5,-9,21,2.3,27,27,0.0,3,-18,6
1416,5,4,-0.5046,1,-0.03,-0.19,-0.52,0.0,1,3.0,2.5,2.0,3.0,2.5,2.5,-9,-9,0.2,14,1,0.2,1,-18,5
1417,1,4,-1.63,1,-9.0,-9.0,-8.0,0.0,6,-1.0,-1.0,2.0,2.0,1.5,2.0,-6,-6,-6.0,-6,-6,-6.0,-6,-12,-5
1418,8,3,0.866,1,-1.74,1.27,0.74,1.0,3,4.0,4.0,4.0,4.0,4.0,4.0,620,27,3.9,27,27,0.0,3,1180,-2
1419,11,4,1.0983,1,-1.5,0.17,1.21,3.0,1,3.5,4.0,4.0,4.0,4.0,4.0,-9,-9,-8.0,-8,-8,-8.0,-8,-18,4
1420,-8,-8,-0.0947,1,-9.0,-9.0,-8.0,0.0,6,-1.0,-1.0,2.0,2.0,2.0,2.0,-6,-6,-6.0,-6,-6,-6.0,-6,-12,-13
1421,2,5,0.5912,1,-9.0,-9.0,-8.0,0.0,6,-1.0,-1.0,2.0,2.5,2.0,2.5,-6,-6,2.7,29,29,0.0,3,-12,-11
1422,4,4,-0.4996,1,-0.57,0.37,0.41,0.0,6,-1.0,3.5,3.0,4.0,3.5,3.5,-9,-9,-8.0,-8,-8,-8.0,-8,-18,4
1423,5,4,0.0595,2,-9.0,-9.0,0.2,0.0,4,3.5,4.0,3.5,4.0,3.5,3.5,-6,-6,3.0,36,36,0.0,13,-12,6
1424,-8,-8,-8.0,1,-0.6,0.8,0.07,4.0,2,3.0,2.5,3.0,3.0,2.5,3.0,-9,-9,2.9,29,22,0.0,3,-18,-24
1425,5,8,1.3074,2,-1.59,0.8,-1.16,0.0,3,3.0,4.0,4.0,4.0,3.5,4.0,560,23,1.1,32,17,0.0,1,1040,5
1426,5,4,-0.3416,1,2.01,0.16,0.2,3.0,3,2.5,2.0,2.5,3.5,2.5,2.5,470,-9,3.6,28,28,0.2,9,1000,3
1427,6,5,1.6211,1,-1.61,1.91,0.2,0.0,1,3.0,3.0,3.0,3.0,3.0,3.0,-9,24,-8.0,-8,-8,-8.0,-8,-18,5
1428,6,5,-0.3101,1,0.34,0.06,-1.05,0.0,6,3.0,3.5,3.5,3.5,3.5,3.5,640,28,-6.0,-6,-6,-6.0,-6,1180,3
1429,3,3,-0.5965,1,-1.28,1.0,-2.12,0.0,6,-1.0,-1.0,3.0,3.0,2.5,3.0,-9,22,-6.0,-6,-6,-6.0,-6,-18,-12
1430,4,6,-0.4101,1,1.41,0.88,0.28,0.0,3,1.5,1.5,1.5,1.5,1.5,1.5,-9,18,-7.0,0,0,0.0,1,-18,-4
1431,-8,-8,0.9859,2,-1.49,0.43,0.7,0.0,1,4.0,2.5,3.0,3.0,3.0,3.0,510,23,0.7,29,9,0.0,1,1030,4
1432,-8,-8,-8.0,1,0.71,-0.29,1.03,0.0,2,3.5,3.5,3.0,3.5,3.0,3.5,490,23,-6.0,-6,-6,-6.0,-6,990,-24
1433,-8,-8,-1.157,1,1.39,0.54,-8.0,0.0,6,-1.0,0.25,-1.0,1.0,0.5,1.0,-9,16,-6.0,-6,-6,-6.0,-6,-18,12
1434,7,4,1.0847,1,-0.39,0.68,-0.23,2.0,2,2.5,2.5,2.0,2.5,2.0,2.5,510,-9,2.9,21,18,0.0,2,1010,7
1435,-8,-8,-0.0033,1,-0.39,0.68,0.06,1.0,2,2.5,3.0,2.5,3.5,2.5,3.0,510,-9,-9.0,-9,-9,-9.0,-9,1010,9
1436,5,3,0.3224,2,-9.0,-9.0,0.74,3.0,3,3.5,3.0,3.5,3.0,3.0,3.5,-6,-6,3.0,30,30,0.0,3,-12,7
1437,5,6,0.5474,1,-0.41,0.66,0.56,0.5,1,4.0,4.0,4.0,4.0,4.0,4.0,-9,18,3.7,33,33,0.0,3,-18,3
1438,2,3,-0.6709,1,-1.94,1.79,0.19,0.0,3,4.0,3.5,3.5,3.5,3.5,3.5,550,24,3.5,32,32,0.0,3,1100,5
1439,1,4,-1.3363,2,-9.0,-9.0,-8.0,0.5,6,-1.0,-1.0,3.5,3.0,3.0,3.5,-6,-6,3.0,15,15,0.2,1,-12,6
1440,4,4,-0.3604,1,0.12,0.39,-1.76,0.0,6,2.5,2.0,2.0,2.0,1.5,2.0,-9,17,-8.0,-8,-8,-8.0,-8,-18,3
1441,2,5,0.0792,1,-1.7,1.83,0.89,1.0,3,3.0,3.0,3.0,2.5,3.0,3.0,560,26,2.3,30,30,0.0,3,1090,6
1442,1,2,-0.6969,2,-0.59,0.84,-8.0,0.0,6,-1.0,-1.0,-1.0,1.5,1.5,1.5,-9,16,-6.0,-6,-6,-6.0,-6,-18,-13
